IME SKLADBE,Instrumenti,Stil,Opus,Datum kompozicije,Vir,Avtorske pravice,Zadnja posodobitev,Glasbeni ID,Typeset
Piano Trio Opus 11 (3rd Movement),"Clarinet, 'Cello and Piano",Classical,Op. 11,1798,Breitkopf and Hartel (1862-1865),Public Domain,2007/Dec/29,Mutopia-2007/12/29-1198,"LilyPond, version 2.10.33"
"Sonata No. 8 “Pathétique” (1st Movement: Grave, Allegro molto e con brio)",Piano,Classical,Op. 13,1800s,"G. Schirmer, 1894 and Berners, 1908",Public Domain,2009/Sep/13,Mutopia-2009/09/13-299,"LilyPond, version 2.12.2"
Sonata No. 8 “Pathétique” (2nd Movement: Adagio cantabile),Piano,Classical,Op. 13,Not known,"Berners, 1908 (edited by A. Winterberger); Peters, 1910",Public Domain,2011/Oct/25,Mutopia-2011/10/25-295,"LilyPond, version 2.14.2"
Sonata No. 8 “Pathétique” (3rd Movement: Rondo),Piano,Classical,Op. 13,Not known,"Berners, 1908 (edited by A. Winterberger)",Public Domain,2013/Jan/08,Mutopia-2013/01/08-296,"LilyPond, version 2.16.1"
"Sonata for Piano with Horn, Op. 17",Horn and Piano,Classical,Op. 17,1800,Mollo 1801,Public Domain,2007/Feb/01,Mutopia-2007/02/01-919,"LilyPond, version 2.11.14"
Sonata No. 14 “Moonlight”,Piano,Classical,"Op. 27, No. 2",1802,"Berners, 1908 (edited by A. Winterberger)",Creative Commons Attribution-ShareAlike 2.5,2007/Feb/11,Mutopia-2007/02/11-276,"LilyPond, version 2.10.16"
Sonata No. 17 (1st Movement: Largo - Allegro),Piano,Classical,"Op. 31, No. 2",1802,Breitkopf & Hartel (1862-1865),Public Domain,2008/Aug/12,Mutopia-2008/08/12-1509,"LilyPond, version 2.10.33"
Sonata No. 17 (2nd Movement: Adagio),Piano,Classical,"Op. 31, No. 2",1802,Breitkopf & Hartel (1862-1865),Public Domain,2016/Nov/08,Mutopia-2016/11/08-1510,"LilyPond, version 2.18.2"
Piano Concerto No. 3 in C Minor (1st Movement: Allegro con brio),Piano and Orchestra,Classical,Op. 37,19th Century,Breitkopf and Hartel (1862-1865),Public Domain,2016/Dec/29,Mutopia-2016/12/29-899,"LilyPond, version 2.19.46"
"Violin Sonata No. 9 in A Minor, 1st Movement: Adagio sostenuto - Presto - Adagio",Violin and Piano,Classical,Op. 47,1802-1803,Breitkopf and Hartel (1862-1865),Public Domain,2007/Feb/05,Mutopia-2007/02/05-922,"LilyPond, version 2.10.14"
"Violin Sonata No. 9 in A Major, 3rd Movement: Presto",Violin and Piano,Classical,Op. 47,19th Century,Breitkopf and Hartel,Public Domain,2007/Feb/11,Mutopia-2007/02/11-923,"LilyPond, version 2.10.14"
Sonata No. 19 (1st Movement: Andante),Piano,Classical,"Op. 49, No. 1",1796-1798,Breitkopf & Hartel (1862-1865),Public Domain,2017/Jul/06,Mutopia-2017/07/06-912,"LilyPond, version 2.10.33"
Sonata No. 19 (2nd Movement: Rondo-Allegro),Piano,Classical,"Op. 49, No. 1",1796-1798,Breitkopf & Hartel (1862-1865),Public Domain,2007/Jan/25,Mutopia-2007/01/25-913,"LilyPond, version 2.10.9"
"Sonata No. 20 (1st Movement: Allegro, ma non troppo)",Piano,Classical,"Op. 49, No. 2",19th Century,Breitkopf & Hartel (1862-1865),Public Domain,2006/Jun/05,Mutopia-2006/06/05-776,"LilyPond, version 2.8.4"
Sonata No. 20 (2nd Movement: Tempo di Menuetto),Piano,Classical,"Op. 49, No. 2",19th Century,Breitkopf & Hartel (1862-1865),Public Domain,2006/Jun/05,Mutopia-2006/06/05-777,"LilyPond, version 2.8.4"
Sonata No. 23 “Appassionata” (2nd Movement: Andante con moto),Piano,Classical,Op. 57,Not known,Schott Einzelausgabe,Public Domain,2014/Mar/28,Mutopia-2014/03/28-288,"LilyPond, version 2.16.1"
"Sonata No. 23 “Appassionata” (3rd Movement: Allegro, ma non troppo - Presto)",Piano,Classical,Op. 57,1804-1805,Breitkopf & Hartel (1862-1865),Public Domain,2007/Mar/12,Mutopia-2007/03/12-937,"LilyPond, version 2.10.17"
Variations - Opus 66,Cello and Piano,Classical,Op. 66,1798,Breitkopf and Hartel,Public Domain,2007/Jul/24,Mutopia-2007/07/24-1008,"LilyPond, version 2.10.25"
"Symphony no. 5, Piano reduction",Piano,Classical,Op. 67,1809,Augener's Edition,Public Domain,2015/Jan/17,Mutopia-2015/01/17-497,"LilyPond, version 2.18.2"
Six Variations,Piano,Classical,Op. 76,1809,Breitkopf & Hartel (1862-1865),Public Domain,2007/Mar/04,Mutopia-2007/03/04-934,"LilyPond, version 2.10.17"
Sonata No. 24 (1st Movement: Adagio cantabile),Piano,Classical,Op. 78,1809,Breitkopf & Hartel (1862-1865),Public Domain,2007/Nov/10,Mutopia-2007/11/10-1137,"LilyPond, version 2.10.33"
Sonata No. 24 (2nd Movement: Allegro vivace),Piano,Classical,Op. 78,1809,Breitkopf & Hartel (1862-1865),Public Domain,2007/Nov/17,Mutopia-2007/11/17-1161,"LilyPond, version 2.10.33"
Sonata No. 25 (1st Movement: Presto alla tedesca),Piano,Classical,Op. 79,1809,Breitkopf & Hartel (1862-1865),Public Domain,2007/Apr/15,Mutopia-2007/04/15-955,"LilyPond, version 2.10.20"
Sonata No. 25 (2nd Movement: Andante),Piano,Classical,Op. 79,1809,Breitkopf & Hartel (1862-1865),Public Domain,2007/Apr/15,Mutopia-2007/04/15-956,"LilyPond, version 2.10.20"
Sonata No. 25 (3rd Movement: Vivace),Piano,Classical,Op. 79,1809,Breitkopf & Hartel (1862-1865),Public Domain,2007/Apr/15,Mutopia-2007/04/15-957,"LilyPond, version 2.10.20"
Sonata No. 27 (1st Movement: Mit Lebhaftigkeit),Piano,Classical,Op. 90,1814,Breitkopf & Hartel (1862-1865),Public Domain,2007/Jan/10,Mutopia-2007/01/10-906,"LilyPond, version 2.10.9"
Sonata No. 27 (2nd Movement: Nicht zu geschwind),Piano,Classical,Op. 90,1814,Breitkopf & Härtel (1862-1865),Public Domain,2017/Nov/06,Mutopia-2017/11/06-909,"LilyPond, version 2.18.2"
Sonata No. 32 (1st Movement),Piano,Classical,Op. 111,1822,Breitkopf & Hartel (1862-1865),Public Domain,2007/Aug/11,Mutopia-2007/08/11-1022,"LilyPond, version 2.10.25"
Rondo A Capriccio,Piano,Classical,Op. 129,1795,Augener's Edition,Public Domain,2015/Jan/17,Mutopia-2015/01/17-498,"LilyPond, version 2.18.2"
Prelude Op. WoO 55,Piano,Classical,WoO 55,1787,Breitkopf & Hartel (1862-1865),Public Domain,2007/Mar/24,Mutopia-2007/03/24-939,"LilyPond, version 2.10.20"
Für Elise,Piano,Classical,WoO 59,1810,"Breitkopf & Härtel, 1888",Public Domain,2015/Aug/18,Mutopia-2015/08/18-931,"LilyPond, version 2.18.2"
Seven Variations - Opus WoO 78,Piano,Classical,WoO 78,1803,Breitkopf & Hartel (1862-1865),Public Domain,2007/Aug/14,Mutopia-2007/08/14-1024,"LilyPond, version 2.10.25"
Menuett Op. WoO 82,Piano,Classical,WoO 82,1785,Breitkopf & Hartel (1862-1865),Public Domain,2007/Jan/07,Mutopia-2007/01/07-904,"LilyPond, version 2.10.6"
In May,"Harpsichord, Piano",Romantic,Not known,Not known,Thiebes-Stierlin Music Co. c.1903,Public Domain,2016/Dec/07,Mutopia-2016/12/07-2155,"LilyPond, version 2.19.49"
3. Satz aus der Sonate in G-Dur,Piano,Classical,Not known,18th Century,Editio Supraphon Praha,Public Domain,2013/Jan/06,Mutopia-2013/01/06-45,"LilyPond, version 2.16.1"
"Home, Sweet Home",Voice and Piano,Song,Not known,1852,Not known,Public Domain,2014/Sep/07,Mutopia-2014/09/07-435,"LilyPond, version 2.18.2"
Entr'acte,Piano,Romantic,Not known,1874,"Schirmer, 1895",Creative Commons Attribution-ShareAlike 2.5,2006/Jan/05,Mutopia-2006/01/05-649,"LilyPond, version 2.6.4.3"
Carmen - Prelude,Piano,Romantic,Not known,1874,"Schirmer, 1895",Creative Commons Attribution-ShareAlike 2.5,2005/Nov/22,Mutopia-2005/11/22-635,"LilyPond, version 2.6.4"
Les Deux Anges,Piano,Song,Not known,Not known,"C. M. Cady, Pub. 1878",Public Domain,2005/Oct/24,Mutopia-2005/10/24-611,"LilyPond, version 2.6.3"
Waltz No. 10,Piano,Romantic,Op. 39,19th C,Winterthur & Leipzig,Public Domain,2017/Jan/22,Mutopia-2017/01/22-2164,"LilyPond, version 2.19.49"
Waltz No. 15,Piano,Romantic,Op. 39,19th C,Ed. R. Joseffy,Public Domain,2006/Jul/30,Mutopia-2006/07/30-794,"LilyPond, version 2.8.5"
Brahms Horn Trio,Ensemble,Romantic,O 40,1865,"Edition Peters, 1891",Public Domain,2007/Jun/05,Mutopia-2007/06/05-833,"LilyPond, version 2.11.25"
Wiegenlied,Voice and Piano,Romantic,"Op. 49, No. 4",Not known,Indiana University,Public Domain,2007/Nov/04,Mutopia-2007/11/04-1037,"LilyPond, version 2.10.33"
Sapphische Ode,Voice and Piano,Romantic,O 94,1884,"The University Society, 1904",Public Domain,2006/Dec/18,Mutopia-2006/12/18-580,"LilyPond, version 2.10.4"
2. Intermezzo,Piano,Romantic,"Op. 118, No. 2",19th C.,"N. Simrock, 1892",Public Domain,2013/Mar/23,Mutopia-2013/03/23-535,"LilyPond, version 2.16.1"
Ebb and Flow,Flute and Piano,Romantic,Not known,2006,Typeset from the manuscript with full permission of the composer,Creative Commons Attribution 2.5,2006/Aug/30,Mutopia-2006/08/30-812,"LilyPond, version 2.9.16"
September Song,Flute and Piano,Romantic,Not known,September 2011,Typeset from the manuscript by permission of the composer,Creative Commons Attribution 3.0,2011/Oct/01,Mutopia-2011/10/01-1792,"LilyPond, version 2.12.3"
Toccatina,Piano,Modern,Not known,2008,Typeset from the manuscript by permission of the composer,Creative Commons Attribution 3.0,2008/Jun/09,Mutopia-2008/06/09-1450,"LilyPond, version 2.10.33"
La Candeur,Piano,Romantic,"Opus 100., Meter",19th Century,"Collection Litolff, 19th Century",Public Domain,2013/Jan/12,Mutopia-2013/01/12-202,"LilyPond, version 2.16.1"
l'Arabesque,Piano,Romantic,"Opus 100., Meter",19th Century,"Collection Litolff, 19th Century",Public Domain,2013/Jan/12,Mutopia-2013/01/12-203,"LilyPond, version 2.16.1"
La Pastorale,Piano,Romantic,"Opus 100., Meter",19th Century,"Collection Litolff, 19th Century",Public Domain,2013/Jan/12,Mutopia-2013/01/12-218,"LilyPond, version 2.16.1"
La Petite Réunion,Piano,Romantic,"Opus 100., Meter",19th Century,"Collection Litolff, 19th Century",Public Domain,2013/Jan/12,Mutopia-2013/01/12-219,"LilyPond, version 2.16.1"
Innocence,Piano,Romantic,"Opus 100., Meter",19th Century,"Collection Litolff, 19th Century",Public Domain,2013/Jan/12,Mutopia-2013/01/12-214,"LilyPond, version 2.16.1"
Progrès,Piano,Romantic,"Opus 100., Meter",19th Century,"Collection Litolff, 19th Century",Public Domain,2013/Jan/12,Mutopia-2013/01/12-215,"LilyPond, version 2.16.1"
Le Courant Limpide,Piano,Romantic,"Opus 100., Meter",19th Century,"Collection Litolff, 19th Century",Public Domain,2013/Jan/12,Mutopia-2013/01/12-216,"LilyPond, version 2.16.1"
La Gracieuse,Piano,Romantic,"Opus 100., Meter",19th Century,"Collection Litolff, 19th Century",Public Domain,2013/Jan/12,Mutopia-2013/01/12-217,"LilyPond, version 2.16.1"
La Chasse,Piano,Romantic,"Opus 100., Meter",19th Century,"Collection Litolff, 19th Century",Public Domain,2013/Jan/12,Mutopia-2013/01/12-220,"LilyPond, version 2.16.1"
Tendre Fleur,Piano,Romantic,"Opus 100., Meter",19th Century,"Collection Litolff, 19th Century",Public Domain,2013/Jan/12,Mutopia-2013/01/12-221,"LilyPond, version 2.16.1"
La Bergeronnette,Piano,Romantic,"Opus 100., Meter",19th Century,"Collection Litolff, 19th Century",Public Domain,2013/Jan/12,Mutopia-2013/01/12-222,"LilyPond, version 2.16.1"
L'Adieu,Piano,Romantic,"Opus 100., Meter",19th Century,"Collection Litolff, 19th Century",Public Domain,2013/Jan/12,Mutopia-2013/01/12-223,"LilyPond, version 2.16.1"
Consolation,Piano,Romantic,"Opus 100., Meter",19th Century,"Collection Litolff, 19th Century",Public Domain,2013/Jan/12,Mutopia-2013/01/12-224,"LilyPond, version 2.16.1"
La Styrienne,Piano,Romantic,"Opus 100., Meter",19th Century,"Collection Litolff, 19th Century",Public Domain,2013/Jan/12,Mutopia-2013/01/12-225,"LilyPond, version 2.16.1"
Ballade,Piano,Romantic,"Opus 100., Meter",19th Century,"Collection Litolff, 19th Century",Public Domain,2013/Jan/12,Mutopia-2013/01/12-227,"LilyPond, version 2.16.1"
Douce Plainte,Piano,Romantic,"Opus 100., Meter",19th Century,"Collection Litolff, 19th Century",Public Domain,2013/Jan/12,Mutopia-2013/01/12-228,"LilyPond, version 2.16.1"
La Babillarde,Piano,Romantic,"Opus 100., Meter",19th Century,"Collection Litolff, 19th Century",Public Domain,2013/Jan/12,Mutopia-2013/01/12-229,"LilyPond, version 2.16.1"
Inquiétude,Piano,Romantic,"Opus 100., Meter",19th Century,"Collection Litolff, 19th Century",Public Domain,2013/Jan/12,Mutopia-2013/01/12-230,"LilyPond, version 2.16.1"
EL PERDÓN DE PLOËRMEL,Piano,Romantic,Not known,Not known,"Calcografía de B. ESLAVA, c. 1870",Public Domain,2007/May/01,Mutopia-2007/05/01-972,"LilyPond, version 2.10.20"
Sally in Our Alley,Voice and Piano,Song,Not known,Not known,Not known,Public Domain,2014/Nov/13,Mutopia-2014/11/13-432,"LilyPond, version 2.18.2"
"Trois Nouvelles Etudes, No. 1 F Minor",Piano,Classical,B.130,Not known,"IMSLP00329, pages #128-129 - Bote & Bock, 1880",Public Domain,2013/Dec/14,Mutopia-2013/12/14-1895,"LilyPond, version 2.16.2"
"Mazurka: Op.6, No.1",Piano,Romantic,"Op. 6, No. 1",1830,"G. Schirmer, 1894",Creative Commons Attribution 3.0,2009/Jun/23,Mutopia-2009/06/23-1687,"LilyPond, version 2.12.2"
Nocturne,Piano,Romantic,"Op. 9, No. 2",1833,"G. Schirmer, New York, 1881",Creative Commons Attribution-ShareAlike 3.0,2014/Dec/18,Mutopia-2014/12/18-1590,"LilyPond, version 2.12.3"
Nocturne No. 3,Piano,Romantic,"Opus 9, No. 3",1832,"G. Schirmer,1915",Creative Commons Attribution-ShareAlike 4.0,2014/May/26,Mutopia-2014/05/26-1955,"LilyPond, version 2.18.2"
Nocturne No. 1 in B-flat minor,Piano,Romantic,"Op. 9, No. 1",1827,"Schirmer, 1915, Ed. R. Joseffy",Creative Commons Attribution-ShareAlike 2.5,2005/Aug/08,Mutopia-2005/08/08-582,"LilyPond, version 2.6.3"
Etüde a-moll,Piano,Romantic,"Op. 10, No. 2",1828-1831,"Peters, Herrmann Scholtz, 1900b",Public Domain,2013/Mar/23,Mutopia-2013/03/23-508,"LilyPond, version 2.16.1"
Etüde f-moll,Piano,Romantic,"Op. 10, No. 9",1829-1832,"Peters, Herrmann Scholtz, 1900b",Public Domain,2013/Mar/23,Mutopia-2013/03/23-484,"LilyPond, version 2.16.1"
Etüde C-Dur,Piano,Romantic,"Opus 10, No. 1",1828-1831,"Peters, Herrmann Scholtz, 1900b",Public Domain,2007/Jan/25,Mutopia-2007/01/25-914,"LilyPond, version 2.10.13"
Etüde Ges-Dur,Piano,Romantic,"Opus 10, No. 5",1828-1831,"Peters, Herrmann Scholtz, 1900b",Public Domain,2007/Feb/11,Mutopia-2007/02/11-926,"LilyPond, version 2.10.16"
Etüde c-moll,Piano,Romantic,"Opus 10, No. 12",1828-1831,"Peters, Herrmann Scholtz, 1900b",Public Domain,2018/May/15,Mutopia-2018/05/15-743,"LilyPond, version 2.16.1"
Première Ballade,Piano,Romantic,Op.23,1836,"Klindworth; Bote & Bock,n.d.[1880]",Creative Commons Attribution-ShareAlike 4.0,2014/Jul/19,Mutopia-2014/07/19-1959,"LilyPond, version 2.18.2"
Etüde f-moll,Piano,Romantic,"Op. 25, No. 2",1832-1837,"Peters, Herrmann Scholtz, 1900b",Public Domain,2006/May/10,Mutopia-2006/05/10-757,"LilyPond, version 2.8.1"
Etüde As-Dur,Piano,Romantic,"Op. 25, No. 1",1828-1831,"Peters, Herrmann Scholtz, 1900b",Public Domain,2013/Mar/23,Mutopia-2013/03/23-489,"LilyPond, version 2.16.1"
Nocturne 8 in Db Major,Piano,Romantic,O 27,1835,"Debussy, 1915",Creative Commons Attribution-ShareAlike 3.0,2012/Feb/12,Mutopia-2012/02/12-486,"LilyPond, version 2.14.2"
"Prelude: Op. 28, No. 1",Piano,Romantic,Op. 28,c. 1837,Edition Peters,Creative Commons Attribution-ShareAlike 4.0,2014/Feb/24,Mutopia-2014/02/24-411,"LilyPond, version 2.18.0"
"Prelude: Op. 28, No. 2",Piano,Romantic,Op. 28,c. 1837,Edition Peters,Creative Commons Attribution-ShareAlike 3.0,2013/Mar/23,Mutopia-2013/03/23-494,"LilyPond, version 2.16.1"
Prélude 3,Piano,Romantic,"Op 28, No 3",1837,"CFEO, http",Creative Commons Attribution-ShareAlike 4.0,2017/Jan/10,Mutopia-2017/01/10-2159,"LilyPond, version 2.18.2"
"Prelude: Op. 28, No. 4 ('Suffocation')",Piano,Romantic,Op. 28,1838/39,"Peters, 1879",Public Domain,2016/Oct/28,Mutopia-2016/10/28-468,"LilyPond, version 2.18.2"
"Prelude: Op. 28, No. 4 (from Peters source)",Piano,Romantic,Op. 28,1831-1839,"Peters, Herrmann Scholtz, 1900b",Public Domain,2007/Feb/01,Mutopia-2007/02/01-921,"LilyPond, version 2.10.14"
Prélude 5,Piano,Romantic,"Op 28, No 5",1837,"CFEO, http",Creative Commons Attribution-ShareAlike 4.0,2017/Jan/10,Mutopia-2017/01/10-2160,"LilyPond, version 2.18.2"
"Prelude: Op. 28, No. 6",Piano,Romantic,Op. 28,1838/39,Edition Peters,Public Domain,2015/Jan/17,Mutopia-2015/01/17-469,"LilyPond, version 2.18.2"
"Prelude: Op. 28, No. 7",Piano,Romantic,Op. 28,1838/39,Edition Peters,Public Domain,2015/Jan/17,Mutopia-2015/01/17-470,"LilyPond, version 2.18.2"
Prélude 8,Piano,Romantic,"Op 28, No 8",1837,"CFEO, http",Creative Commons Attribution-ShareAlike 4.0,2017/Jan/25,Mutopia-2017/01/25-2166,"LilyPond, version 2.18.2"
Prélude 9,Piano,Romantic,"Op 28, No 9",1837,"CFEO, http",Creative Commons Attribution-ShareAlike 4.0,2017/Jan/27,Mutopia-2017/01/27-2168,"LilyPond, version 2.18.2"
Prélude 10,Piano,Romantic,"Op 28, No 10",1837,"CFEO, http",Creative Commons Attribution-ShareAlike 4.0,2017/Feb/10,Mutopia-2017/02/10-2171,"LilyPond, version 2.19.54"
Prélude 11,Piano,Romantic,"Op 28, No 11",1837,"CFEO, http",Creative Commons Attribution-ShareAlike 4.0,2017/Feb/15,Mutopia-2017/02/15-2172,"LilyPond, version 2.18.2"
Prélude 12,Piano,Romantic,"Op 28, No 12",1837,"CFEO, http",Creative Commons Attribution-ShareAlike 4.0,2017/Feb/15,Mutopia-2017/02/15-2173,"LilyPond, version 2.19.54"
Prélude 13,Piano,Romantic,"Op 28, No 13",1837,"CFEO, http",Creative Commons Attribution-ShareAlike 4.0,2017/Mar/29,Mutopia-2017/03/29-2174,"LilyPond, version 2.19.55"
Prélude 14,Piano,Romantic,"Op 28, No 14",1837,"CFEO, http",Creative Commons Attribution-ShareAlike 4.0,2017/Mar/29,Mutopia-2017/03/29-2175,"LilyPond, version 2.18.2"
"Prelude: Op. 28, No. 15",Piano,Romantic,Op. 28,1838/39,Edition Peters,Public Domain,2015/Jan/16,Mutopia-2015/01/16-471,"LilyPond, version 2.18.2"
Prélude 16,Piano,Romantic,"Op 28, No 16",1837,"CFEO, http",Creative Commons Attribution-ShareAlike 4.0,2017/Mar/29,Mutopia-2017/03/29-2176,"LilyPond, version 2.19.56"
Prélude 17,Piano,Romantic,"Op 28, No 17",1837,"CFEO, http",Creative Commons Attribution-ShareAlike 4.0,2017/Jun/28,Mutopia-2017/06/28-2190,"LilyPond, version 2.19.60"
Prélude 18,Piano,Romantic,"Op 28, No 18",1837,"CFEO, http",Creative Commons Attribution-ShareAlike 4.0,2017/Jun/28,Mutopia-2017/06/28-2191,"LilyPond, version 2.19.60"
Prélude 19,Piano,Romantic,"Op 28, No 19",1837,"CFEO, http",Creative Commons Attribution-ShareAlike 4.0,2017/Jun/28,Mutopia-2017/06/28-2192,"LilyPond, version 2.19.60"
"Prelude: Op. 28, No. 20",Piano,Romantic,Op. 28,1838/39,Edition Peters,Public Domain,2011/Jun/19,Mutopia-2011/06/19-472,"LilyPond, version 2.14.1"
Prélude 21,Piano,Romantic,"Op 28, No 21",1837,"CFEO, http",Creative Commons Attribution-ShareAlike 4.0,2017/Oct/15,Mutopia-2017/10/15-2195,"LilyPond, version 2.19.61"
Prélude 22,Piano,Romantic,"Op 28, No 22",1837,"CFEO, http",Creative Commons Attribution-ShareAlike 4.0,2018/Mar/13,Mutopia-2018/03/13-2214,"LilyPond, version 2.19.81"
Prélude 23,Piano,Romantic,"Op 28, No 23",1837,"CFEO, http",Creative Commons Attribution-ShareAlike 4.0,2018/May/15,Mutopia-2018/05/15-2220,"LilyPond, version 2.19.81"
Prélude 24,Piano,Romantic,"Op 28, No 24",1837,"CFEO, http",Creative Commons Attribution-ShareAlike 4.0,2018/May/15,Mutopia-2018/05/15-2221,"LilyPond, version 2.19.81"
"Mazurka: Op.33, No.1",Piano,Romantic,"Op. 33, No. 1",1837-1838,"G. Schirmer, 1894",Creative Commons Attribution 3.0,2009/Jun/21,Mutopia-2009/06/21-1682,"LilyPond, version 2.12.2"
Sonate 2 b-moll,Piano,Romantic,Op. 35,1837-1839,"Peters, Herrmann Scholtz, 1900c",Public Domain,2009/Nov/30,Mutopia-2009/11/30-1727,"LilyPond, version 2.12.2"
Prelude,Piano,Romantic,Op. 45,Not known,Edition by Herrmann Scholtz (1845-1918),Public Domain,2012/Feb/12,Mutopia-2012/02/12-1776,"LilyPond, version 2.14.2"
Ballade number 4,Piano,Romantic,O 52,1842,Joseffy Edition,Public Domain,2016/Oct/28,Mutopia-2016/10/28-422,"LilyPond, version 2.18.2"
"Valse Op. 64, No. 1 ('Minute Waltz')",Piano,Romantic,Op. 64,1847,Edition Peters,Public Domain,2015/Jan/17,Mutopia-2015/01/17-483,"LilyPond, version 2.18.2"
Fantaisie-Impromptu,Piano,Classical,Op. 66,Not known,Herrmann Scholtz (1845-1918),Public Domain,2009/Sep/05,Mutopia-2009/09/05-1693,"LilyPond, version 2.10.33"
Walzer h-moll,Piano,Romantic,"Op. 69, No. 2",1829-1835,"Peters, Herrmann Scholtz, 1900a",Public Domain,2013/Mar/23,Mutopia-2013/03/23-511,"LilyPond, version 2.16.1"
Nocturne No. 19 in E minor,Piano,Romantic,"Op. 72, No. 1",1827,"Schirmer, 1915",Creative Commons Attribution-ShareAlike 4.0,2017/Jan/04,Mutopia-2017/01/04-509,"LilyPond, version 2.18.2"
I Cannot Sing the Old Songs,Voice and Piano,Song,Not known,1868,Not known,Public Domain,2014/Sep/07,Mutopia-2014/09/07-431,"LilyPond, version 2.18.2"
Sonatina,Piano,Classical,O 36,19th C.,"Sonatina Album, G. Schirmer, Inc. Copyright 1893",Public Domain,2016/Nov/30,Mutopia-2016/11/30-804,"LilyPond, version 2.18.2"
Clementi's Art of Playing on the Piano Forte,"Piano, Pianoforte, Harpsichord, Clavichord",Classical,Op. 42,1801,"Clementi, Banger, Hyde, Collard and Davis; London [1803] (Sibley Music Library); Gera",Creative Commons Attribution-ShareAlike 4.0,2014/Feb/18,Mutopia-2014/02/18-1938,"LilyPond, version 2.16.2"
Ellen's Song,Piano,Folk,Not known,1950s,memory,Creative Commons Attribution-ShareAlike 2.5,2006/Dec/04,Mutopia-2006/12/04-853,"LilyPond, version 2.8.7"
Ein Ton,Voice and Piano,Romantic,Not known,19th Century,"The University Society, 1909",Public Domain,2006/Dec/18,Mutopia-2006/12/18-583,"LilyPond, version 2.10.4"
"50 Melodische Übungsstücke, No. 1",Piano,Romantic,"Op. 840, No. 1",Not known,IMSLP; Mainz,Public Domain,2016/Nov/15,Mutopia-2016/11/15-2146,"LilyPond, version 2.18.2"
"50 Melodische Übungsstücke, No. 2",Piano,Romantic,"Op. 840, No. 2",Not known,IMSLP; Mainz,Public Domain,2016/Nov/15,Mutopia-2016/11/15-2147,"LilyPond, version 2.18.2"
"50 Melodische Übungsstücke, No. 3",Piano,Romantic,"Op. 840, No. 3",Not known,IMSLP; Mainz,Public Domain,2016/Nov/16,Mutopia-2016/11/16-2148,"LilyPond, version 2.18.2"
"50 Melodische Übungsstücke, No. 4",Piano,Romantic,"Op. 840, No. 4",Not known,IMSLP; Mainz,Public Domain,2016/Nov/17,Mutopia-2016/11/17-2149,"LilyPond, version 2.18.2"
"50 Melodische Übungsstücke, No. 5",Piano,Romantic,"Op. 840, No. 5",Not known,IMSLP; Mainz,Public Domain,2016/Nov/21,Mutopia-2016/11/21-2150,"LilyPond, version 2.18.2"
"50 Melodische Übungsstücke, No. 6",Piano,Romantic,"Op. 840, No. 6",Not known,IMSLP; Mainz,Public Domain,2016/Nov/21,Mutopia-2016/11/21-2151,"LilyPond, version 2.18.2"
"50 Melodische Übungsstücke, No. 7",Piano,Romantic,"Op. 840, No. 7",Not known,IMSLP; Mainz,Public Domain,2016/Nov/21,Mutopia-2016/11/21-2152,"LilyPond, version 2.18.2"
"50 Melodische Übungsstücke, No. 8",Piano,Romantic,"Op. 840, No. 8",Not known,IMSLP; Mainz,Public Domain,2016/Dec/05,Mutopia-2016/12/05-2153,"LilyPond, version 2.18.2"
"50 Melodische Übungsstücke, No. 9",Piano,Romantic,"Op. 840, No. 9",Not known,IMSLP; Mainz,Public Domain,2016/Dec/05,Mutopia-2016/12/05-2154,"LilyPond, version 2.18.2"
"50 Melodische Übungsstücke, No. 10",Piano,Romantic,"Op. 840, No. 10",Not known,IMSLP; Mainz,Public Domain,2017/Apr/10,Mutopia-2017/04/10-2177,"LilyPond, version 2.18.2"
"160 Eight-Measure Exercises, No. 1",Piano,Technique,"Op. 821, No. 1",Not known,IMLSP; Leipzig,Public Domain,2015/Nov/06,Mutopia-2015/11/06-2060,"LilyPond, version 2.18.2"
"160 Eight-Measure Exercises, No. 2",Piano,Technique,"Op. 821, No. 2",Not known,IMLSP; Leipzig,Public Domain,2015/Nov/06,Mutopia-2015/11/06-2061,"LilyPond, version 2.18.2"
"160 Eight-Measure Exercises, No. 3",Piano,Technique,"Op. 821, No. 3",Not known,IMLSP; Leipzig,Public Domain,2015/Nov/09,Mutopia-2015/11/09-2062,"LilyPond, version 2.18.2"
"160 Eight-Measure Exercises, No. 4",Piano,Technique,"Op. 821, No. 4",Not known,IMLSP; Leipzig,Public Domain,2015/Nov/09,Mutopia-2015/11/09-2063,"LilyPond, version 2.18.2"
"160 Eight-Measure Exercises, No. 5",Piano,Technique,"Op. 821, No. 5",Not known,IMLSP; Leipzig,Public Domain,2015/Nov/11,Mutopia-2015/11/11-2066,"LilyPond, version 2.18.2"
"160 Eight-Measure Exercises, No. 6",Piano,Technique,"Op. 821, No. 6",Not known,IMLSP; Leipzig,Public Domain,2015/Nov/12,Mutopia-2015/11/12-2067,"LilyPond, version 2.18.2"
"160 Eight-Measure Exercises, No. 7",Piano,Technique,"Op. 821, No. 7",Not known,IMLSP; Leipzig,Public Domain,2015/Nov/13,Mutopia-2015/11/13-2068,"LilyPond, version 2.18.2"
